,School Number,Cluster,County,School
165,4659,4,SCHUYLKILL,BLUE MOUNTAIN EAST EL SCH
163,2552,4,LANCASTER,BLUE BALL EL SCH
76,1365,4,CHESTER,AVON GROVE INTRMD SCH
2090,7475,4,ERIE,WATTSBURG AREA EL CTR
1939,6608,4,PERRY,SUSQUENITA EL SCH
2088,2035,4,ERIE,WATERFORD EL SCH
2087,6918,4,CLEARFIELD,WASSON AVENUE EL SCH
1944,7739,4,MONROE,SWIFTWATER EL CTR
77,3516,4,NORTHAMPTON,AVONA EL
1946,2389,4,CLEARFIELD,SYKESVILLE EL SCH
79,7669,4,ALLEGHENY,AVONWORTH MS
1950,1042,4,BUCKS,TAMANEND MS
1975,3214,4,MONROE,TOBYHANNA EL CTR
1976,8046,4,BEAVER,TODD LANE EL SCH
141,6321,4,BERKS,BETHEL EL
108,7545,4,BEDFORD,BEDFORD ELEMENTARY
123,5211,4,BUCKS,BELMONT HILLS EL SCH
2037,7798,4,MONTGOMERY,UPPER MORELAND INTERMEDIATE SCH
2009,5029,4,BERKS,TWIN VALLEY EL CTR
2036,3394,4,MONTGOMERY,UPPER MERION MS
2011,7614,4,BLAIR,TYRONE AREA EL SCH
2016,7300,4,LEBANON,UNION CANAL EL SCH
2017,6795,4,ERIE,UNION CITY EL SCH
2034,7263,4,DAUPHIN,UPPER DAUPHIN AREA E
2033,4851,4,CUMBERLAND,UPPER ALLEN EL SCH
2031,165,4,ALLEGHENY,UNIVERSITY PARK EL SCH
2020,2709,4,LAWRENCE,UNION MEMORIAL EL SCH
119,1341,4,CENTRE,BELLEFONTE EL SCH
2023,6680,4,INDIANA,UNITED EL SCH
115,1692,4,CUMBERLAND,BELLAIRE EL SCH
101,8190,4,LANCASTER,BEAR CREEK SCHOOL
132,1978,4,ELK,BENNETTS VALLEY EL SCH
2046,7340,4,LUZERNE,VALLEY EL/MS
2050,7487,4,LACKAWANNA,VALLEY VIEW INTRMD
1978,1123,4,BUCKS,TOHICKON VALLEY EL SCH
1979,1319,4,CARBON,TOWAMENSING EL SCH
92,4683,4,BUCKS,BARCLAY EL SCH
1982,2059,4,ERIE,TRACY EL SCH
1983,7111,4,WESTMORELAND,TRAFFORD EL SCH
1984,6189,4,WESTMORELAND,TRAFFORD MS
138,7302,4,ADAMS,BERMUDIAN SPRINGS ELEM
1931,1184,4,BUTLER,SUMMIT EL SCH
137,7645,4,SOMERSET,BERLIN BROTHERSVALLE MS
93,4603,4,YORK,BARESVILLE EL SCH
136,6206,4,SOMERSET,BERLIN BROTHERSVALLE EL
2053,6109,4,ALLEGHENY,VERNER EL SCH
1992,7402,4,WASHINGTON,TRINITY NORTH EL SCH
1993,7424,4,WASHINGTON,TRINITY SOUTH EL SCH
1995,1000,4,BRADFORD,TROY AREA SHS
134,7987,4,WASHINGTON,BENTWORTH EL CTR
1989,4629,4,YORK,TRIMMER EL SCH
2173,4857,4,LACKAWANNA,WILLIAM PRESCOTT NO 38
2098,6446,4,CARBON,WEATHERLY AREA EL SCH
168,3887,4,SCHUYLKILL,BLUE MOUNTAIN WEST EL SCH
1860,8102,4,WESTMORELAND,SOUTHMORELAND MS
2152,2062,4,ERIE,WESTLAKE MS
2149,2832,4,LEHIGH,WESTERN SALISBURY EL
217,7954,4,LANCASTER,BURGARD ELEM SCHOOL
1866,1695,4,CUMBERLAND,SPORTING HILL EL SCH
1867,7458,4,MONTGOMERY,SPRING CITY EL SCH
1870,7644,4,YORK,SPRING FORGE INTERMED SCH
1871,3452,4,NORTHAMPTON,SPRING GARDEN EL SCH
2144,290,4,ALLEGHENY,WEST VIEW EL SCH
49,1594,4,COLUMBIA,APPLEMAN EL SCH
1874,6725,4,YORK,SPRING GROVE AREA MS
50,6716,4,MONTGOMERY,ARCOLA INTRMD SCH
1875,4618,4,YORK,SPRING GROVE EL SCH
214,591,4,ARMSTRONG,BUFFALO TWP EL SCH
2138,885,4,BERKS,WEST READING EL CTR
1858,4808,4,LEHIGH,SOUTHERN LEHIGH MS
1878,3365,4,MONTGOMERY,SPRING-FORD INT. SCH
2153,1290,4,CAMBRIA,WESTMONT HILLTOP EL
2154,1292,4,CAMBRIA,WESTMONT HILLTOP MS
2171,6634,4,NORTHAMPTON,WILLIAM PENN EL SCH
36,8285,4,BERKS,AMITY EL CTR
228,2385,4,CLEARFIELD,C G JOHNSON EL SCH
1844,7682,4,ALLEGHENY,SOUTH PARK ELEM CENTER
37,7329,4,WESTMORELAND,AMOS K HUTCHINSON EL SCH
1845,6906,4,ALLEGHENY,SOUTH PARK MS
227,5343,4,LYCOMING,C E MCCALL MS
1849,6697,4,ELK,SOUTH ST MARYS STREE
2164,883,4,BERKS,WHITFIELD EL SCH
2161,7364,4,MONTGOMERY,WHITEHALL EL SCH
2160,3537,4,NORTHUMBERLAND,WHITE DEER EL SCH
2158,2185,4,FAYETTE,WHARTON SCH
44,2724,4,LEBANON,ANNVILLE EL SCH
1853,6692,4,YORK,SOUTHERN EL SCH
47,7787,4,ARMSTRONG,APOLLO RIDGE EL
1855,2253,4,FULTON,SOUTHERN FULTON JSHS
206,2517,4,LANCASTER,BROWNSTOWN EL SCH
1882,2172,4,FAYETTE,SPRINGFIELD EL SCH
1883,3370,4,MONTGOMERY,SPRINGFIELD TWP EL SCH-ERDENHM
1910,5270,4,WESTMORELAND,STEWARTSVILLE ELEM SCHOOL
1911,7956,4,LANCASTER,STIEGEL ELEM SCHOOL
2113,4900,4,MONTGOMERY,WEST BROAD STREET EL
179,6307,4,BERKS,BOYERTOWN EL SCH
178,6305,4,BERKS,BOYERTOWN AREA JHS-W
177,6804,4,BERKS,BOYERTOWN AREA JHS-E
173,1843,4,DELAWARE,BOOTHWYN EL SCH
67,1911,4,DELAWARE,ASTON EL SCH
172,4333,4,WESTMORELAND,BON AIR EL.
1919,4965,4,BUCKS,STRAYER MS
171,2271,4,GREENE,BOBTOWN EL SCH
2108,4827,4,LEHIGH,WESCOSVILLE EL SCH
2107,7269,4,WESTMORELAND,WENDOVER MS
69,6221,4,POTTER,AUSTIN AREA EL SCH
1924,6896,4,BUCKS,STRUBLE EL SCH
64,5063,4,NORTHAMPTON,ASA PACKER EL SCH
1909,4600,4,YORK,STEWARTSTOWN EL SCH
2115,4850,4,CUMBERLAND,WEST CREEK HILLS EL SCH
1907,4336,4,WESTMORELAND,STEWART EL.
1884,3375,4,MONTGOMERY,SPRINGFIELD TWP MS
2134,3948,4,SCHUYLKILL,WEST PENN TWP EL SCH
2132,8003,4,WESTMORELAND,WEST NEWTON EL SCH
2129,4607,4,YORK,WEST MANHEIM EL SCH
2127,7895,4,ARMSTRONG,WEST HILLS PRIMARY SCH
57,1959,4,DELAWARE,ARONIMINK EL SCH
1894,5359,4,WESTMORELAND,STANWOOD EL SCH
73,7098,4,WASHINGTON,AVELLA EL CENTER
2123,4399,4,WESTMORELAND,WEST HEMPFIELD EL SCH
2121,1817,4,DAUPHIN,WEST HANOVER EL SCH
197,1709,4,CUMBERLAND,BROAD STREET EL SCH
195,7406,4,MONTGOMERY,BRIDLE PATH EL SCH
189,735,4,BEDFORD,BREEZEWOOD EL SCH
188,2500,4,LANCASTER,BRECKNOCK EL SCH
185,8191,4,BERKS,BRANDYWINE INTERMEDIATE SCHOOL
183,768,4,BERKS,BRANDYWINE HEIGHTS ELEMENTARY
61,3146,4,MERCER,ARTMAN EL SCH
815,7163,4,WESTMORELAND,HERITAGE EL SCH
409,78,4,ALLEGHENY,CRAFTON EL SCH
1762,8001,4,ALLEGHENY,SHALER AREA EL SCH
1115,4605,4,YORK,MANHEIM EL SCH
1116,5114,4,LANCASTER,MANHEIM TWP MS
2236,8048,4,LEHIGH,ZEPHYR EL SCH
633,2246,4,FULTON,FORBES ROAD JSHS
1125,1022,4,BUCKS,MAPLE SHADE EL SCH
632,6840,4,FULTON,FORBES ROAD EL SCH
631,7381,4,BLAIR,FOOT OF TEN EL SCH
1128,8080,4,JEFFERSON,MAPLEVIEW EL SCH
1131,2137,4,FAYETTE,MARCLAY SCH
1133,7280,4,BEAVER,MARGARET ROSS ELEM SCH
629,7857,4,PHILADELPHIA,FOLK ARTS-CULTURAL TREASURES CS
1137,1340,4,CENTRE,MARION-WALKER EL SCH
1142,7264,4,MONTGOMERY,MARLBOROUGH EL SCH
625,5099,4,NORTHAMPTON,FIVE POINTS EL SCH
1144,7929,4,BUTLER,MARS AREA CENTENNIAL SCHOOL
1145,5363,4,BUTLER,MARS AREA MS
1147,4820,4,FAYETTE,MARSHALL EL SCH
1153,2628,4,LANCASTER,MARTIC EL SCH
1154,5238,4,LANCASTER,MARTICVILLE MS
1155,6297,4,LANCASTER,MARTIN MEYLIN MS
605,6273,4,FRANKLIN,FAYETTEVILLE EL SCH
604,2390,4,JUNIATA,FAYETTE TWP EL SCH
597,2577,4,LANCASTER,FARMDALE EL SCH
594,7465,4,BUCKS,FALLSINGTON EL SCH
593,4825,4,FRANKLIN,FALLING SPRING EL SCH
636,6899,4,CAMBRIA,FOREST HILLS EL SCH
592,2032,4,ERIE,FAIRVIEW MS
1111,1109,4,BUCKS,MAKEFIELD EL SCH
1109,1663,4,VENANGO,MAIN STREET EL SCHOOL
665,6195,4,BLAIR,FRANKSTOWN EL SCH
664,8176,4,ADAMS,FRANKLIN TWP EL SCH
1069,7516,4,CHESTER,LIONVILLE MD SCH
1070,2660,4,LANCASTER,LITITZ EL SCH
1072,4593,4,YORK,LOCUST GROVE EL SCH
661,7602,4,WESTMORELAND,FRANKLIN REGIONAL MS
1078,1775,4,DAUPHIN,LONDONDERRY EL SCH
1081,1899,4,DELAWARE,LOOMIS EL SCH
1082,786,4,BERKS,LORANE EL SCH
657,3803,4,PHILADELPHIA,FRANK ANNE SCH
655,7413,4,ELK,FRANCIS S GRANDINETTI ES
1085,7414,4,DAUPHIN,LOWER DAUPHIN MS
654,6593,4,LEHIGH,FRANCIS H SHECKLER EL SCH
1089,8055,4,NORTHAMPTON,LOWER NAZARETH EL SCH
1090,3334,4,MONTGOMERY,LOWER POTTSGROVE EL
1091,1065,4,BUCKS,LOWER SOUTHAMPTON ES
649,1602,4,COLUMBIA,FOURTEENTH STREET EL
1097,6803,4,MERCER,LUTHER W LOW EL SCH
644,5328,4,ERIE,FORT LEBOEUF MS
641,7187,4,WASHINGTON,FORT CHERRY EL CTR
1103,2804,4,LEHIGH,MACUNGIE EL SCH
640,4389,4,WESTMORELAND,FORT ALLEN EL SCH
1106,3954,4,SCHUYLKILL,MAHANTONGO EL SCH
1107,1311,4,CARBON,MAHONING EL SCH
1108,791,4,BERKS,MAIER EL SCH
638,2761,4,LEBANON,FORGE ROAD EL SCH
590,2233,4,FRANKLIN,FAIRVIEW AVENUE EL SCH
587,7560,4,LEHIGH,EYER MIDDLE SCH
1177,7657,4,BUCKS,MAUREEN M WELCH EL SCH
1245,6992,4,WYOMING,MILL CITY EL SCH
1250,3455,4,NORTHAMPTON,MILLER HEIGHTS EL SCH
545,2038,4,ERIE,EDINBORO EL SCH
1257,6863,4,NORTHUMBERLAND,MILTON AREA MS
539,629,4,BEAVER,ECONOMY EL SCH
538,2728,4,LEBANON,EBENEZER EL SCH
1263,7108,4,LAWRENCE,MOHAWK EL SCH
537,7439,4,YORK,EASTERN YORK MS
534,1356,4,CENTRE,EASTERLY PARKWAY EL
1270,7034,4,NORTHUMBERLAND,MONTANDON EL SCH
1272,7273,4,LUZERNE,MONTGOMERY AVENUE EL
533,4648,4,YORK,EAST YORK EL SCH
1276,8253,4,ALLEGHENY,MOON AREA LOWER MS
1277,8254,4,ALLEGHENY,MOON AREA UPPER MS
1278,3500,4,NORTHAMPTON,MOORE  ELEM SCHOOL
531,6695,4,ALLEGHENY,EAST UNION INTERMED CTR
1280,68,4,ALLEGHENY,MOORE SCH
530,8016,4,MONROE,EAST STROUDSBURG EL SCH
526,2574,4,LANCASTER,EAST PETERSBURG EL SCH
525,1705,4,CUMBERLAND,EAST PENNSBORO EL SCH
523,1312,4,CARBON,EAST PENN EL SCH
1288,8098,4,LACKAWANNA,MOSCOW EL SCH
1295,1358,4,CENTRE,MOUNT NITTANY EL SCH
1296,7426,4,CENTRE,MOUNT NITTANY MS
1298,7951,4,CUMBERLAND,MOUNT ROCK ELEM
1244,6781,4,BUCKS,MILFORD MS
1241,7863,4,UNION,MIFFLINBURG AREA INTRMD SCHOOL
1239,8096,4,BERKS,MIFFLIN PARK EL SCH
553,6574,4,ARMSTRONG,ELDERTON EL SCH
1183,3648,4,PHILADELPHIA,MCCALL GEN GEORGE A
1184,519,4,ALLEGHENY,MCCLELLAN EL SCH
579,6991,4,WYOMING,EVANSFALLS EL SCH
1188,2248,4,FULTON,MCCONNELLSBURG EL SCH
578,7940,4,MONTGOMERY,EVANS ELEM SCHOOL
577,7488,4,BUTLER,EVANS CITY MS
576,1180,4,BUTLER,EVANS CITY EL SCH
1196,2039,4,ERIE,MCKEAN EL SCH
1197,5366,4,ALLEGHENY,MCKEE EL SCH
573,2629,4,LANCASTER,ESHLEMAN EL SCH
570,8028,4,ALLEGHENY,ENVIRONMENTAL CS AT FRICK PARK
1205,1138,4,BUTLER,MCQUISTION EL SCH
1063,1777,4,DAUPHIN,LINGLESTOWN EL SCH
1207,1715,4,CUMBERLAND,MECHANICSBURG MIDDLE SCHOOL
564,7837,4,CUMBERLAND,ELMWOOD ELEM SCHOOL
1213,1606,4,COLUMBIA,MEMORIAL EL SCH
1215,2139,4,FAYETTE,MENALLEN SCH
1217,3157,4,MERCER,MERCER AREA EL SCH
1219,6282,4,FRANKLIN,MERCERSBURG EL SCH
1220,3649,4,PHILADELPHIA,MEREDITH WILLIAM M SCH
1222,5166,4,WESTMORELAND,METZGAR EL SCH
1223,6208,4,SOMERSET,MEYERSDALE AREA EL
559,2042,4,ERIE,ELK VALLEY EL SCH
557,6417,4,SUSQUEHANNA,ELK LAKE EL SCH
1233,1697,4,CUMBERLAND,MIDDLESEX EL SCH
554,4804,4,ALLEGHENY,ELIZABETH FORWARD MS
1210,6993,4,WYOMING,MEHOOPANY EL SCH
669,203,4,ALLEGHENY,FRED L AIKEN EL SCH
1059,6786,4,NORTHUMBERLAND,LINE MOUNTAIN ELEMENTARY
1058,1057,4,BUCKS,LINDEN EL SCH
880,2324,4,INDIANA,INDIANA AREA JHS
882,3379,4,MONTGOMERY,INGLEWOOD EL SCH
886,3147,4,MERCER,IONTA  EL SCH
887,6853,4,CUMBERLAND,IRON FORGE EDUC CTR
891,908,4,BLAIR,IRVING EL SCH
894,3204,4,MONROE,J M HILL EL SCH
766,3271,4,MONTGOMERY,HALLOWELL EL SCH
900,3058,4,LYCOMING,JACKSON EL SCH
764,5038,4,DAUPHIN,HALIFAX AREA EL SCH
902,6731,4,BERKS,JACKSONWALD EL SCH
905,7925,4,CUMBERLAND,JAMES BURD ELEM SCHOOL
906,5126,4,ADAMS,JAMES GETTYS EL SCH
907,4954,4,ERIE,JAMES S WILSON MS
908,5225,4,ERIE,JAMES W PARKER MS
763,7489,4,BUTLER,HAINE MS
757,4831,4,MONTGOMERY,GWYN-NOR EL SCH
756,1097,4,BUCKS,GUTH SCHOOL
920,8049,4,MONTGOMERY,JENKINTOWN MIDDLE/HIGH SCH
921,7227,4,PHILADELPHIA,JENKS ABRAM SCH
755,2215,4,FRANKLIN,GUILFORD HILLS EL SCH
924,5243,4,LYCOMING,JERSEY SHORE AREA EL
926,4244,4,WASHINGTON,JOE WALKER EL SCH
751,7468,4,PERRY,GREENWOOD MS
929,2661,4,LANCASTER,JOHN BECK EL SCH
750,7062,4,PERRY,GREENWOOD EL SCH
879,4722,4,MONTGOMERY,INDIAN VALLEY MS
873,61,4,ALLEGHENY,INDEPENDENCE MS
872,671,4,BEAVER,INDEPENDENCE ELEM SCH
869,8355,4,MONROE,Hamilton TWP EL SCH
812,6367,4,LYCOMING,HEPBURN-LYCOMING EL
811,3133,4,MERCER,HEMPFIELD EL SCH
818,1749,4,DAUPHIN,HERSHEY PRIMARY ELEMENTARY SCH
820,5231,4,JEFFERSON,HICKORY GROVE EL SCH
821,3150,4,MERCER,HICKORY HS
822,8142,4,ALLEGHENY,HIGHCLIFF ES
828,7229,4,PHILADELPHIA,HILL-FREEDMAN
829,1966,4,DELAWARE,HILLCREST EL SCH
830,7758,4,WESTMORELAND,HILLCREST INTERMEDIATE SCHOOL
805,4537,4,YORK,HAYSHIRE EL SCH
836,6844,4,MERCER,HILLVIEW EL SCH
839,8354,4,ALLEGHENY,HOLIDAY PARK EL SCH
749,810,4,BERKS,GREENWICH-LENHARTSVI
840,4680,4,BUCKS,HOLLAND EL SCH
846,872,4,BERKS,HONEY BROOK EL CTR
799,8166,4,LAWRENCE,HARTMAN INTRMDT SCH
848,2234,4,FRANKLIN,HOOVERVILLE EL SCH
798,6900,4,COLUMBIA,HARTMAN EL CTR
850,8072,4,LEHIGH,HOPEWELL EL SCH
851,672,4,BEAVER,HOPEWELL ELEM SCH
854,2322,4,INDIANA,HORACE MANN EL SCH
796,7268,4,WESTMORELAND,HARROLD MS
794,6185,4,WESTMORELAND,HARRISON PARK EL SCH
860,8209,4,LACKAWANNA,HOWARD GARDNER MULTIPLE INTELL
789,7195,4,CLEARFIELD,HARMONY AREA EL SCH
868,1666,4,VENANGO,HYDETOWN EL  SCHOOL
841,6833,4,BUCKS,HOLLAND MIDDLE SCHOOL
517,2758,4,LEBANON,EAST HANOVER EL SCH
932,7420,4,LANCASTER,JOHN R BONFIELD EL SCH
937,1069,4,BUCKS,JOSEPH E FERDERBAR ES
1011,7001,4,LAWRENCE,LAUREL EL SCH
704,10,4,ADAMS,GETTYSBURG AREA MS
700,6841,4,LEHIGH,GEORGE D STECKEL EL SCH
1018,4701,4,YORK,LEADERS HEIGHTS EL SCH
697,7695,4,CHESTER,GENERAL WAYNE EL SCH
1022,1930,4,DELAWARE,LEEDOM EL SCH
1024,3499,4,NORTHAMPTON,LEHIGH  ELEM SCHOOL
691,7313,4,DELAWARE,GARNET VALLEY MS
1026,7681,4,NORTHAMPTON,LEHIGH VALLEY ACADEMY REG CS
689,7209,4,LANCASTER,GARDEN SPOT MS
1030,2922,4,LUZERNE,LEHMAN-JACKSON EL SCH
1031,4557,4,YORK,LEIB EL SCH
687,1724,4,CUMBERLAND,G B LUHRS UNIV EL SCH
1037,2627,4,LANCASTER,LETORT EL SCH
1039,914,4,BLAIR,LEWIS M. MYERS EL.
682,5113,4,LANCASTER,FRITZ EL SCH
680,4613,4,YORK,FRIENDSHIP EL SCH
677,8346,4,ARMSTRONG,FREEPORT AREA MS
1046,4833,4,MONTOUR,LIBERTY-VALLEY EL SCH
1047,2756,4,LEBANON,LICKDALE EL SCH
1048,4440,4,WESTMORELAND,LIGONIER VALLEY MS
672,2755,4,LEBANON,FREDERICKSBURG EL SCH
670,5216,4,CHESTER,FRED S ENGLE MS
1056,7859,4,BEAVER,LINCOLN PARK PERFORMING ARTS CS
1057,4625,4,YORK,LINCOLNWAY EL SCH
1009,4386,4,WESTMORELAND,LATROBE EL SCH
1007,8050,4,YORK,LARRY MACALUSO EL SCH
1005,7421,4,LANCASTER,LANDISVILLE MS
1004,6294,4,LANCASTER,LANDISVILLE INTRMD CS
939,930,4,BLAIR,JUNIATA GAP EL SCH
947,6639,4,MONTGOMERY,KEITH VALLEY MS
745,5186,4,PHILADELPHIA,GREENFIELD ALBERT SCH
744,5117,4,FRANKLIN,GREENCASTLE-ANTRIM MIDDLE
951,2875,4,LUZERNE,KENNEDY EL CTR
952,6834,4,CHESTER,KENNETT MS
743,2202,4,FRANKLIN,GREENCASTLE-ANTRIM ELEM
742,4726,4,PHILADELPHIA,GREENBERG JOSEPH SCH
741,7748,4,PHILADELPHIA,GREEN WOODS CS
737,6957,4,WESTMORELAND,GREATER LATROBE JHS
731,6927,4,WESTMORELAND,GRANDVIEW INTRMD SCH
968,7191,4,WESTMORELAND,KISKI AREA EAST PRIMARY
935,2757,4,LEBANON,JONESTOWN EL SCH
971,4516,4,WESTMORELAND,KISKI AREA SOUTH PRIMARY
973,4823,4,LANCASTER,KISSEL HILL EL SCH
974,2046,4,ERIE,KLEIN EL SCH
976,3309,4,MONTGOMERY,KNAPP EL SCH
977,7460,4,BUTLER,KNOCH MS
728,1928,4,DELAWARE,GRACE PARK EL SCH
979,6285,4,YORK,KREUTZ CREEK EL SCH
980,3275,4,MONTGOMERY,KULP EL SCH
981,1788,4,DAUPHIN,KUNKEL EL SCH
989,4524,4,WYOMING,LACKAWANNA TRAIL EL
998,7446,4,WAYNE,LAKESIDE ELEMENTARY SCHOOL
1001,7011,4,CUMBERLAND,LAMBERTON MS
1003,8246,4,LANCASTER,LANDIS RUN INTERMEDIATE SCHOOL
972,8277,4,WESTMORELAND,KISKI AREA UPPER EL SCH
1301,4380,4,WESTMORELAND,MOUNTAIN VIEW EL SCH
1303,1334,4,CENTRE,MOUNTAINTOP AREA EL
1304,2576,4,LANCASTER,MOUNTVILLE EL SCH
1580,7984,4,CAMBRIA,PORTAGE AREA EL SCHOOL
1587,6425,4,WAYNE,PRESTON SCH
1589,3549,4,NORTHUMBERLAND,PRIESTLEY SCH
361,5077,4,MONTGOMERY,COLONIAL MS
357,6022,4,ALLEGHENY,COLFAX EL SCH
355,3263,4,MONTGOMERY,COLE MANOR EL SCH
353,1910,4,DELAWARE,COEBOURN EL SCH
1603,8082,4,JEFFERSON,PUNXSUTAWNEY AREA MS
1607,447,4,ALLEGHENY,QUAKER VALLEY MS
1608,5132,4,BUCKS,QUAKERTOWN EL SCH
1616,5191,4,ALLEGHENY,RAMSEY EL SCH
1617,8066,4,INDIANA,RAYNE EL SCH
346,7354,4,LANCASTER,CLERMONT EL SCH
1619,5053,4,LANCASTER,REAMSTOWN EL SCH
1625,433,4,ALLEGHENY,REGENCY PARK EL SCH
1627,7755,4,BERKS,REIFFTON SCH
1628,7636,4,CHESTER,RENAISSANCE ACAD CS
1630,4843,4,ALLEGHENY,RESERVE PRIMARY SCH
1631,7411,4,MONROE,RESICA EL SCH
1632,3164,4,MERCER,REYNOLDS EL SCH
336,7570,4,LACKAWANNA,CLARKS SUMMIT EL SCH
335,3915,4,SCHUYLKILL,CLARKE EL CTR
1639,6777,4,ERIE,RICE AVENUE MS
1640,1730,4,CUMBERLAND,RICE EL
333,2146,4,FAYETTE,CLARK EL SCH
1579,1331,4,CENTRE,PORT MATILDA EL SCH
1569,6168,4,VENANGO,PLEASANTVILLE EL  SCHOOL
1568,5362,4,YORK,PLEASANT VIEW EL SCH
1565,7434,4,MONROE,PLEASANT VALLEY ELEM
1520,2634,4,LANCASTER,PEQUEA EL SCH
1522,3326,4,MONTGOMERY,PERKIOMEN VALLEY MS - EAST
1523,7794,4,MONTGOMERY,PERKIOMEN VALLEY MS-WEST
1525,8165,4,LAWRENCE,PERRY LOWER INTRMD SCH
