,School Number,Cluster,County,School
994,2924,3,LUZERNE,LAKE-LEHMAN JSHS
996,6403,3,LACKAWANNA,LAKELAND EL SCH
703,5062,3,NORTHAMPTON,GEORGE WOLF ELEM SCHOOL
2143,8232,3,SNYDER,WEST SNYDER EL SCH
693,167,3,ALLEGHENY,GATEWAY MS
2141,7640,3,ARMSTRONG,WEST SHAMOKIN JSHS
692,1964,3,DELAWARE,GARRETTFORD EL SCH
752,8202,3,MERCER,GROVE CITY AREA MS
52,18,3,ADAMS,ARENDTSVILLE EL SCH
2182,8200,3,BUCKS,WILLOW DALE EL SCH
925,3033,3,LYCOMING,JERSEY SHORE AREA MIDDLE SCHOOL
2185,7352,3,LAWRENCE,WILMINGTON AREA MS
1029,7642,3,MONROE,LEHMAN INTERMEDIATE
54,7123,3,MONROE,ARLINGTON HEIGHTS EL SCH
31,4234,3,WASHINGTON,ALLISON PARK EL SCH
2135,3597,3,PERRY,WEST PERRY MS
1032,5002,3,ARMSTRONG,LENAPE EL SCH
922,8078,3,JEFFERSON,JENKS HILL EL SCH
1028,1314,3,CARBON,LEHIGHTON AREA MS
1015,7306,3,DAUPHIN,LAWNTON EL SCH
1014,6940,3,WESTMORELAND,LAUREL VALLEY EL SCH
1013,2680,3,LAWRENCE,LAUREL JSHS
997,6404,3,LACKAWANNA,LAKELAND JSHS
748,3137,3,MERCER,GREENVILLE JSHS
2178,951,3,BLAIR,WILLIAMSBURG COMM JSHS
999,4705,3,DELAWARE,LAKEVIEW EL SCH
934,6218,3,ELK,JOHNSONBURG AREA HS
1000,7069,3,MERCER,LAKEVIEW MS
933,5326,3,ELK,JOHNSONBURG AREA EL
2151,4057,3,TIOGA,WESTFIELD AREA EL SCH
2150,7341,3,WAYNE,WESTERN WAYNE MS
2179,6373,3,TIOGA,WILLIAMSON SHS
2148,719,3,BEAVER,WESTERN BEAVER CO JS/HS
2180,8273,3,LYCOMING,WILLIAMSPORT AREA MS
1008,6421,3,SUSQUEHANNA,LATHROP STREET EL SCH
2147,1969,3,DELAWARE,WESTBROOK PARK EL SCH
705,8147,3,ADAMS,GETTYSBURG MONTESSORI CHARTER
2146,7286,3,YORK,WEST YORK MS
48,6570,3,ARMSTRONG,APOLLO-RIDGE MS
995,7060,3,LUZERNE,LAKE-NOXEN EL SCH
785,2048,3,ERIE,HARBOR CREEK JUNIOR HS
885,6794,3,BERKS,INTERMEDIATE SCH
949,4084,3,UNION,KELLY EL SCH
2056,8128,3,ADAMS,VIDA CHARTER SCHOOL
824,6558,3,BEAVER,HIGHLAND MS
842,927,3,BLAIR,HOLLIDAYSBURG AREA J
1230,3201,3,MONROE,MIDDLE SMITHFIELD EL
843,6797,3,INDIANA,HOMER-CENTER EL SCH
844,2331,3,INDIANA,HOMER-CENTER JSHS
580,7006,3,BEDFORD,EVERETT AREA EL SCH
637,1287,3,CAMBRIA,FOREST HILLS MS
845,532,3,ALLEGHENY,HOMEVILLE EL SCH
823,1736,3,YORK,HIGHLAND EL SCH
582,7866,3,MONROE,EVERGREEN COMMUNITY CS
3,2115,3,FAYETTE,A L WILSON EL SCH
2219,6390,3,LUZERNE,WYOMING AREA SEC CTR
91,7501,3,ALLEGHENY,BANKSVILLE ELEM SCHL
2059,8138,3,INDIANA,W A MCCREERY EL SCH
1181,4595,3,YORK,MAZIE GABLE EL SCH
1232,3961,3,SNYDER,MIDDLEBURG EL SCH
1216,4507,3,WESTMORELAND,MENDON EL SCH
556,6862,3,LANCASTER,ELIZABETHTOWN AREA M
2063,2396,3,JUNIATA,WALKER TWP EL SCH
1235,6566,3,BEAVER,MIDLAND EL/MS
852,674,3,BEAVER,HOPEWELL JHS
589,7322,3,ADAMS,FAIRFIELD AREA MS
2223,7611,3,CUMBERLAND,YELLOW BREECHES MID SCH
588,6270,3,ADAMS,FAIRFIELD AREA EL SCH
1176,7901,3,DAUPHIN,MATH SCIENCE ACADEMY
2060,1974,3,DELAWARE,W B EVANS EL SCH
585,787,3,BERKS,EXETER TWP JHS
1179,3769,3,PHILADELPHIA,MAYFAIR SCH
1180,7146,3,LACKAWANNA,MAYFIELD EL SCH
2035,6339,3,DAUPHIN,UPPER DAUPHIN AREA M
1234,1785,3,DAUPHIN,MIDDLETOWN AREA MIDDLE SCHOOL
797,6864,3,LEHIGH,HARRY S TRUMAN EL SCH
1189,7734,3,FULTON,MCCONNELLSBURG MS
2224,8131,3,YORK,YORK ACADEMY REGIONAL CHARTER
807,3955,3,SCHUYLKILL,HEGINS-HUBLEY EL SCH
100,7827,3,LUZERNE,BEAR CREEK COMMUNITY CS
1218,7792,3,MERCER,MERCER AREA MS
2045,6788,3,BUCKS,VALLEY EL SCH
2229,4508,3,WESTMORELAND,YOUGH MS
565,69,3,ALLEGHENY,ELROY AVENUE EL SCH
566,1020,3,BUCKS,EMERSON EL SCH
98,3345,3,MONTGOMERY,BARTH EL SCH
1206,1653,3,CRAWFORD,MEADVILLE AREA MIDDLE SCHOOL
568,1134,3,BUTLER,EMILY BRITTAIN EL SCH
104,7386,3,BEAVER,BEAVER AREA MS
825,1965,3,DELAWARE,HIGHLAND PARK EL SCH
2049,7920,3,VENANGO,VALLEY GROVE ELEM SCHOOL
571,6712,3,LANCASTER,EPHRATA MS
1199,8242,3,YORK,MCKINLEY SCH
561,3257,3,MONTGOMERY,ELKINS PARK SCH
2051,7283,3,LACKAWANNA,VALLEY VIEW MS
837,2768,3,LEHIGH,HIRAM W DODD EL SCH
1228,7799,3,SNYDER,MIDD-WEST MS
1226,8304,3,LACKAWANNA,MID VALLEY SECONDARY CENTER
835,5322,3,DELAWARE,HILLTOP EL SCH
1193,5007,3,BUCKS,MCDONALD EL SCH
1225,2423,3,LACKAWANNA,MID VALLEY EL CTR
2055,6166,3,VENANGO,VICTORY EL SCH
1194,6976,3,WASHINGTON,MCGUFFEY MS
802,4115,3,VENANGO,HASSON HEIGHTS SCH
2038,5249,3,MONTGOMERY,UPPER MORELAND MS
803,5344,3,MONTGOMERY,HATFIELD EL SCH
575,7564,3,PHILADELPHIA,EUGENIO MARIA DE HOSTOS CS
2039,3406,3,MONTGOMERY,UPPER PERKIOMEN MS
94,1430,3,CHESTER,BARKLEY EL SCH
1224,7613,3,SOMERSET,MEYERSDALE MS
595,6826,3,FRANKLIN,FANNETT-METAL EL SCH
2064,6956,3,PIKE,WALLENPAUPACK AREA M
2066,4305,3,PIKE,WALLENPAUPACK SOUTH
596,7508,3,FRANKLIN,FANNETT-METAL MS
551,4143,3,WARREN,EISENHOWER MS/HS
109,7021,3,BEDFORD,BEDFORD MS
1136,4328,3,WESTMORELAND,MARION EL SCH
1135,2339,3,INDIANA,MARION CENTER AREA H
788,8220,3,BRADFORD,HARLAN ROWE MS
866,5333,3,HUNTINGDON,HUNTINGDON AREA MS
1130,6942,3,CRAWFORD,MAPLEWOOD HS
1246,1570,3,CLINTON,MILL HALL EL SCH
1129,6137,3,CRAWFORD,MAPLEWOOD EL SCH
2081,4568,3,YORK,WASHINGTON EL SCH
867,4700,3,FAYETTE,HUTCHINSON EL SCH
80,3221,3,MONROE,B F MOREY EL SCH
112,6019,3,ALLEGHENY,BEECHWOOD EL SCH
1138,7777,3,PHILADELPHIA,MARITIME ACADEMY CS
1124,7380,3,BUCKS,MAPLE POINT MS
2235,4133,3,WARREN,YOUNGSVILLE EL/ MS
634,6420,3,SUSQUEHANNA,FOREST CITY REG EL
1121,13,3,ADAMS,MAPLE AVENUE MS
1120,4068,3,TIOGA,MANSFIELD JSHS
1251,6010,3,GREENE,MILLER MS
1119,7410,3,LANCASTER,MANOR MIDDLE SCHOOL
871,7683,3,PHILADELPHIA,INDEPENDENCE CS
1252,6682,3,DAUPHIN,MILLERSBURG AREA MS
635,6419,3,SUSQUEHANNA,FOREST CITY REG HS
1254,7064,3,COLUMBIA,MILLVILLE AREA EL SCH
542,1926,3,DELAWARE,EDGEWOOD EL SCH
874,8062,3,MONTGOMERY,INDIAN CREST MS
1114,7953,3,LANCASTER,MANHEIM CENTRAL MS
2089,3574,3,NORTHUMBERLAND,WATSONTOWN EL SCH
2085,7456,3,WASHINGTON,WASHINGTON PARK ES
864,6364,3,LYCOMING,HUGHESVILLE JSHS
2077,4839,3,TIOGA,WARREN L MILLER EL SCH
1242,6809,3,UNION,MIFFLINBURG AREA MS
598,3456,3,NORTHAMPTON,FARMERSVILLE EL SCH
88,6824,3,PHILADELPHIA,BALDI C C A MS
2214,1005,3,BRADFORD,WYALUSING VALLEY JSHS
606,7746,3,LACKAWANNA,FELL CS
2,6933,3,FAYETTE,A J MCMULLEN SCH
856,5337,3,LEBANON,HOUCK EL SCH
611,4947,3,JUNIATA,FERMANAGH-MIFFLINTOW
1156,936,3,BLAIR,MARTINSBURG EL SCH
87,1335,3,CENTRE,BALD EAGLE AREA JSHS
2213,8175,3,BRADFORD,WYALUSING VALLEY EL SCH
2071,7845,3,DELAWARE,WALTER M SENKOW ELEM SCH
1151,3408,3,MONTGOMERY,MARSHALL STREET EL SCH
615,8005,3,DAUPHIN,FINK EL SCH
617,1651,3,CRAWFORD,FIRST DISTRICT EL SCH
614,1223,3,CAMBRIA,FERNDALE EL SCH
1,7691,3,CHESTER,21ST CENTURY CYBER CS
2234,8156,3,ALLEGHENY,YOUNG SCHOLARS OF WESTERN PA CS
627,3092,3,MCKEAN,FLOYD FRETZ MD SCH
1140,6641,3,YORK,MARKLE INTRMD SCH
626,6311,3,BERKS,FLEETWOOD MS
552,8137,3,LEBANON,ELCO INTERMEDIATE SCHOOL
2076,7843,3,WARREN,WARREN AREA ELEM CTR
102,4148,3,WARREN,BEATY-WARREN MS
793,6787,3,ALLEGHENY,HARRISON MS
2032,7437,3,ADAMS,UPPER ADAMS MS
620,4583,3,YORK,FISHING CREEK EL SCH
790,8316,3,CLEARFIELD,HARMONY AREA JSHS
