,ZipCode,Lat,Long
272,15613.0,40.58,-79.56
273,15615.0,40.36,-79.73
274,15616.0,40.24,-79.55
275,15617.0,40.26,-79.65
276,15618.0,40.52,-79.47
277,15619.0,40.34,-79.53
278,15620.0,40.3,-79.3
279,15621.0,40.2,-79.5
280,15622.0,40.04,-79.32
281,15623.0,40.32,-79.65
282,15624.0,40.34,-79.53
283,15625.0,40.25,-79.67
284,15626.0,40.41,-79.57
285,15627.0,40.33,-79.3
286,15628.0,40.11,-79.38
287,15629.0,40.59,-79.56
288,15631.0,40.09,-79.58
289,15632.0,40.41,-79.62
290,15633.0,40.34,-79.53
291,15634.0,40.3,-79.59
292,15635.0,40.34,-79.53
293,15636.0,40.37,-79.67
294,15637.0,40.23,-79.71
295,15638.0,40.27,-79.41
296,15639.0,40.2,-79.61
297,15640.0,40.23,-79.71
298,15641.0,40.63,-79.58
299,15642.0,40.32,-79.69
300,15644.0,40.33,-79.62
301,15646.0,40.06,-79.31
302,15647.0,40.35,-79.72
303,15650.0,40.31,-79.38
304,15655.0,40.19,-79.16
305,15656.0,40.63,-79.6
306,15658.0,40.24,-79.23
307,15660.0,40.23,-79.71
308,15661.0,40.3,-79.34
309,15662.0,40.34,-79.53
310,15663.0,40.24,-79.67
311,15664.0,40.16,-79.51
312,15665.0,40.34,-79.67
313,15666.0,40.15,-79.54
314,15668.0,40.46,-79.67
315,15670.0,40.39,-79.41
316,15671.0,40.32,-79.3
317,15672.0,40.22,-79.6
318,15673.0,40.59,-79.55
319,15674.0,40.16,-79.51
320,15675.0,40.32,-79.64
321,15676.0,40.27,-79.42
322,15677.0,40.17,-79.22
323,15678.0,40.27,-79.72
324,15679.0,40.15,-79.63
325,15680.0,40.53,-79.56
326,15681.0,40.48,-79.44
327,15682.0,40.68,-79.64
328,15683.0,40.1,-79.58
329,15684.0,40.46,-79.5
330,15685.0,40.18,-79.49
331,15686.0,40.62,-79.44
332,15687.0,40.13,-79.29
333,15688.0,40.15,-79.56
334,15689.0,40.16,-79.54
335,15690.0,40.59,-79.57
336,15691.0,40.34,-79.53
337,15692.0,40.27,-79.54
338,15693.0,40.27,-79.41
339,15695.0,40.19,-79.73
340,15696.0,40.28,-79.36
341,15697.0,40.24,-79.58
342,15698.0,40.21,-79.68
343,15701.0,40.62,-79.15
344,15710.0,40.63,-78.87
345,15711.0,41.01,-78.96
346,15712.0,40.77,-78.85
347,15713.0,40.54,-79.22
348,15714.0,40.66,-78.78
349,15715.0,40.96,-78.87
350,15716.0,40.46,-79.18
351,15717.0,40.43,-79.26
352,15720.0,40.53,-79.06
353,15721.0,40.81,-78.78
354,15722.0,40.6,-78.7
355,15723.0,40.72,-79.14
356,15724.0,40.72,-78.8
357,15725.0,40.49,-79.36
358,15727.0,40.57,-79.29
359,15728.0,40.66,-79.01
360,15729.0,40.69,-78.9
361,15730.0,40.95,-78.92
362,15731.0,40.51,-79.2
363,15732.0,40.68,-79.19
364,15733.0,40.98,-78.97
365,15734.0,40.73,-79.02
366,15736.0,40.69,-79.34
367,15737.0,40.6,-78.73
368,15738.0,40.69,-78.76
369,15739.0,40.67,-79.16
370,15740.0,40.96,-79.03
371,15741.0,40.8,-78.88
372,15742.0,40.81,-78.83
373,15744.0,40.92,-79.09
374,15745.0,40.61,-78.91
375,15746.0,40.75,-78.88
376,15747.0,40.78,-79.15
377,15748.0,40.53,-79.15
378,15750.0,40.48,-79.19
379,15752.0,40.53,-79.28
380,15753.0,40.81,-78.62
381,15754.0,40.55,-79.15
382,15756.0,40.59,-79.3
383,15757.0,40.87,-78.72
384,15758.0,40.87,-79.04
385,15759.0,40.77,-79.04
386,15760.0,40.64,-78.81
387,15761.0,40.63,-78.88
388,15762.0,40.59,-78.81
389,15763.0,40.9,-79.12
390,15764.0,40.99,-79.03
391,15765.0,40.62,-78.97
392,15767.0,40.94,-78.97
393,15770.0,40.98,-79.14
394,15771.0,40.82,-79.0
395,15772.0,40.86,-78.94
396,15773.0,40.6,-78.73
397,15774.0,40.65,-79.3
398,15775.0,40.64,-78.77
399,15776.0,41.02,-79.08
400,15777.0,40.69,-78.97
401,15778.0,40.96,-79.19
402,15779.0,40.36,-79.3
403,15780.0,40.92,-79.08
404,15781.0,40.96,-79.0
405,15783.0,40.6,-79.35
406,15784.0,41.02,-79.14
407,15801.0,41.14,-78.73
408,15821.0,41.31,-78.33
409,15822.0,41.34,-78.7
410,15823.0,41.27,-78.73
411,15824.0,41.24,-78.79
412,15825.0,41.16,-79.08
413,15827.0,41.31,-78.48
414,15828.0,41.32,-79.14
415,15829.0,41.18,-79.2
416,15831.0,41.36,-78.59
417,15832.0,41.34,-78.13
418,15834.0,41.51,-78.23
419,15840.0,41.14,-78.8
420,15841.0,41.26,-78.49
421,15845.0,41.49,-78.67
422,15846.0,41.32,-78.6
423,15847.0,41.09,-79.03
424,15848.0,41.03,-78.74
425,15849.0,41.21,-78.6
426,15851.0,41.09,-78.88
427,15853.0,41.42,-78.72
428,15856.0,41.08,-78.66
429,15857.0,41.42,-78.55
430,15860.0,41.28,-79.12
431,15861.0,41.38,-78.05
432,15863.0,41.01,-78.83
433,15864.0,41.11,-79.18
434,15865.0,41.04,-78.81
435,15866.0,41.02,-78.78
436,15868.0,41.26,-78.49
437,15870.0,41.58,-78.68
438,15901.0,40.32,-78.91
439,15920.0,40.45,-79.03
440,15921.0,40.32,-78.69
441,15922.0,40.55,-78.86
442,15923.0,40.39,-79.15
443,15924.0,40.11,-78.81
444,15925.0,40.4,-78.64
445,15926.0,40.1,-78.8
446,15927.0,40.54,-78.78
447,15928.0,40.23,-78.93
448,15929.0,40.47,-78.99
449,15930.0,40.28,-78.73
450,15931.0,40.48,-78.72
451,15934.0,40.33,-78.77
452,15935.0,40.24,-78.96
453,15936.0,40.15,-78.91
454,15937.0,40.21,-78.98
455,15938.0,40.42,-78.62
456,15940.0,40.5,-78.63
457,15942.0,40.38,-78.82
458,15943.0,40.47,-78.83
459,15944.0,40.37,-79.07
460,15945.0,40.36,-78.86
461,15946.0,40.38,-78.67
462,15948.0,40.49,-78.74
463,15949.0,40.41,-79.13
464,15951.0,40.33,-78.78
465,15952.0,40.29,-78.71
466,15953.0,40.22,-78.89
467,15954.0,40.41,-79.02
468,15955.0,40.32,-78.76
469,15956.0,40.36,-78.79
470,15957.0,40.56,-78.91
471,15958.0,40.37,-78.76
472,15959.0,40.27,-78.92
473,15960.0,40.52,-78.85
474,15961.0,40.47,-78.91
475,15962.0,40.38,-78.71
476,15963.0,40.23,-78.82
477,16001.0,40.86,-79.89
478,16016.0,41.11,-79.9
479,16021.0,41.08,-79.97
480,16022.0,41.05,-79.72
481,16023.0,40.78,-79.75
482,16024.0,40.73,-80.03
483,16025.0,40.94,-79.74
484,16027.0,40.81,-80.01
485,16028.0,40.98,-79.61
486,16029.0,40.87,-79.84
487,16030.0,41.13,-79.79
488,16033.0,40.76,-80.05
489,16034.0,40.85,-79.75
490,16035.0,41.11,-79.98
491,16036.0,41.14,-79.68
492,16037.0,40.8,-80.12
493,16038.0,41.13,-80.01
494,16039.0,40.83,-79.79
495,16040.0,41.1,-79.83
496,16041.0,40.99,-79.72
497,16045.0,40.85,-79.92
498,16046.0,40.69,-80.01
499,16048.0,40.53,-79.6
500,16049.0,41.09,-79.68
501,16050.0,41.02,-79.71
502,16051.0,40.92,-80.14
503,16052.0,40.9,-80.04
504,16053.0,40.8,-79.98
505,16054.0,41.16,-79.65
506,16055.0,40.73,-79.73
507,16056.0,40.75,-79.81
508,16057.0,41.07,-80.06
509,16058.0,41.18,-79.61
510,16059.0,40.67,-79.98
511,16061.0,41.0,-79.89
512,16063.0,40.78,-80.14
513,16066.0,40.71,-80.1
514,16101.0,40.99,-80.34
515,16110.0,41.5,-80.37
516,16111.0,41.53,-80.27
517,16112.0,40.97,-80.48
518,16113.0,41.28,-80.4
519,16114.0,41.38,-80.16
520,16115.0,40.81,-80.42
521,16116.0,41.02,-80.46
522,16117.0,40.86,-80.28
523,16120.0,40.85,-80.45
524,16121.0,41.2,-80.49
525,16123.0,40.81,-80.2
526,16124.0,41.32,-80.25
527,16125.0,41.4,-80.38
528,16127.0,41.15,-80.08
529,16130.0,41.43,-80.12
530,16131.0,41.55,-80.38
531,16132.0,41.02,-80.49
532,16133.0,41.27,-80.13
533,16134.0,41.48,-80.43
534,16136.0,40.83,-80.32
535,16137.0,41.22,-80.23
536,16140.0,41.1,-80.5
537,16141.0,40.83,-80.4
538,16142.0,41.11,-80.33
539,16143.0,41.09,-80.45
540,16145.0,41.34,-80.08
541,16146.0,41.23,-80.49
542,16148.0,41.22,-80.44
543,16150.0,41.25,-80.48
544,16151.0,41.44,-80.2
545,16153.0,41.33,-80.1
546,16154.0,41.32,-80.42
547,16155.0,41.08,-80.52
548,16156.0,41.11,-80.25
549,16157.0,40.88,-80.33
550,16159.0,41.17,-80.45
551,16160.0,40.95,-80.36
552,16161.0,41.19,-80.49
553,16201.0,40.82,-79.52
554,16210.0,40.9,-79.5
555,16211.0,40.79,-79.19
556,16212.0,40.75,-79.58
557,16213.0,41.12,-79.55
558,16214.0,41.21,-79.38
559,16217.0,41.33,-79.18
560,16218.0,40.93,-79.59
561,16220.0,41.39,-79.27
562,16221.0,41.1,-79.43
563,16222.0,40.88,-79.24
564,16223.0,40.97,-79.35
565,16224.0,41.05,-79.29
566,16225.0,41.26,-79.25
567,16226.0,40.76,-79.53
568,16228.0,40.75,-79.53
569,16229.0,40.68,-79.68
570,16230.0,41.02,-79.27
571,16232.0,41.23,-79.53
572,16233.0,41.36,-79.29
573,16234.0,41.13,-79.28
574,16235.0,41.31,-79.38
575,16236.0,40.76,-79.53
576,16238.0,40.78,-79.52
577,16239.0,41.45,-79.08
578,16240.0,41.02,-79.22
579,16242.0,41.0,-79.32
580,16244.0,40.8,-79.26
581,16245.0,41.01,-79.25
582,16246.0,40.79,-79.18
583,16248.0,41.04,-79.5
584,16249.0,40.79,-79.31
585,16250.0,40.78,-79.23
586,16253.0,40.96,-79.33
587,16254.0,41.25,-79.46
588,16255.0,41.1,-79.49
589,16256.0,40.87,-79.17
590,16257.0,41.33,-79.35
591,16258.0,41.2,-79.32
592,16259.0,40.94,-79.45
593,16260.0,41.37,-79.25
